experiment_id,declared_date,phase,status,hypothesis,kill_test,config_path,data_scope,code_ref,run_command,primary_metric,result_summary,artifact_path,builder,reviewer,review_status,notes
EXP-0001,2026-07-26,experiment,completed,VEI smoothing: does the ATR estimator / a smoothing function make VEI a cleaner regime signal?,"if no estimator/smoothing raises persistence AND holds forward-vol IC, VEI is irreducibly noisy",scripts/s1_smoothing.py,NQ+ES clean Databento RTH 1-min 2011-2026,core/vei.py; core/analysis.py; scripts/s1_smoothing.py,python -u -m futures.nq.vei_exploration.scripts.s1_smoothing {NQ|ES},"lag-1 persistence, whipsaw rate, block-bootstrap Spearman IC vs forward 30-min realized vol",CONFIRMED both markets: Wilder RMA ATR dominates. Raw SMA VEI(10/50) AC1~-0.01 whipsaw0.46 IC+0.060; Wilder AC1 0.55 whipsaw0.23 IC+0.157 (ES 0.51/0.26/+0.195). EMA-smoothing the ratio at 1m barely helps 30m-decision persistence; the win is a longer-memory ATR estimator. Adopt Wilder(10/50) canonical. EXP-0035(noise_vwap) used the jumpiest SMA variant.,artifacts/runs/A_smoothing,Claude,unassigned,not-reviewed,"Descriptive, no trading. Outputs smoothing_{NQ,ES}.{txt,csv}."
EXP-0002,2026-07-26,experiment,completed,"Vol forecasting + coiled-spring: does the VEI ratio add over the vol level, and does low VEI predict forward expansion?",VEI adds no incremental forward-vol info over the level AND low VEI does not mark forward expansion => VEI has no vol-timing role,scripts/s2_vol_forecast.py,NQ+ES clean Databento RTH 1-min 2011-2026,core/vei.py; core/analysis.py; scripts/s2_vol_forecast.py,python -u -m futures.nq.vei_exploration.scripts.s2_vol_forecast {NQ|ES},rank IC + OLS dR2 of log(VEI) over log(vol level) for forward realized abs-var; expansion ratio by VEI quintile,"CONFIRMED both markets. B: vol LEVEL dominates (IC+0.86 R2 0.60); adding log(VEI) raises R2 only +0.004(NQ)/+0.002(ES), coef CI excludes 0 = real but economically marginal. C: NO intraday coiled spring - expansion ratio is LOWEST at low VEI (~0.90) and rises with VEI; forward vol is a POSITIVE function of VEI (persistence). Squeeze idea, if real, is a daily/multi-day timescale. Corrects the stated low-VEI=spring intuition intraday.",artifacts/runs/BC_vol_forecast,Claude,unassigned,not-reviewed,"Descriptive. Outputs vol_forecast_{NQ,ES}.txt, forecast_*, expansion_*."
EXP-0003,2026-07-26,experiment,completed,Does the VEI regime select momentum vs mean-reversion (volatility role in every strategy)?,"if trailing->forward return correlation does not differ by VEI regime, VEI is not a strategy-type selector",scripts/s3_regime_dynamics.py,NQ+ES clean Databento RTH 1-min 2011-2026,core/vei.py; core/analysis.py; scripts/s3_regime_dynamics.py,python -u -m futures.nq.vei_exploration.scripts.s3_regime_dynamics {NQ|ES},"block-bootstrap corr(past 30m ret, next 30m ret) by VEI regime (low/calm/high)","CONFIRMED descriptive both markets (DISCOVERY not alpha): momentum turns ON in high VEI. corr low/calm ~0 (random walk); high VEI(>1.10) +0.104 NQ [+0.023,+0.186] / +0.096 ES [+0.016,+0.171] = trending, CI excludes 0. VEI predicts no direction but SELECTS when momentum is present. No significant 30m mean-reversion in any regime. Strongest lead; needs preregistered strategy test + Null C before any edge claim (rule 26).",artifacts/runs/D_regime_dynamics,Claude,unassigned,not-reviewed,"Descriptive. Outputs regime_{NQ,ES}.{txt,csv}. Not deployable alpha."
EXP-0004,2026-07-26,experiment,completed,HYP-0001: momentum (go with trailing 30m move) works only when VEI is high (VEI>1.10) -- VEI as a momentum regime switch,preregistered: high>1.10 H=30 must have netR>0 & daily Sharpe>0 & day_t>=2 & beat low regime; else REJECT (nulls skipped). If pass: matched-count random null + path-preserving Null C must both clear.,scripts/hyp_0001_momentum_vei.py,NQ+ES clean Databento RTH 1-min 2011-2026,core/strategy.py; core/nulls.py; core/vei.py; scripts/hyp_0001_momentum_vei.py; tests/test_strategy.py,python -u -m futures.nq.vei_exploration.scripts.hyp_0001_momentum_vei real {NQ|ES},"zero-trade-day daily net-ATR-R Sharpe of preregistered high>1.10 H=30 cell (netR, day_t co-primary)","MECHANISM CONFIRMED, EDGE REJECTED both markets. Gross dose-response clean+correct-signed+cross-market: momentum gross expectancy lives in high-VEI regime (high>1.10 gross +0.96pt/t NQ / +0.375 ES; low<=1.10 ~0/neg; all in between) = Study D confirmed at strategy level. But NOT deployable: preregistered high>1.10 H=30 daily Sharpe +0.015 NQ (t0.06) / -0.073 ES -- per-trade tilt sub-cost & daily-lumpy. KILL-TEST 1 FAIL -> matched-count random null + Null C skipped (standing rule). Sensitivity: net/t monotone up in T and horizon (H=60 t~1.7 NQ/1.4 ES, still <2, post-hoc); 2023+ positive (forward-watch only). Recurring pattern: real cross-market per-trade signal that does not monetize.",artifacts/runs/EXP-0004,Claude,unassigned,not-reviewed,"Preregistered (HYP-0001) before run. Causal next-open fill + fixed 30m horizon, non-overlapping bets, conservative per-interval cost. Outputs momentum_{NQ,ES}.txt, sweep_*, horizon_*, verdict_*."
EXP-0005,2026-07-26,experiment,completed,"HYP-0002: Study D's momentum switch is a volatility regime, not a time-of-day clock (VEI drifts up all day, so VEI>1.10 is ~1% of morning but 19-64% of late decisions). Plus the momentum term structure, VR by regime, and normalisation comparison.","preregistered: if the count-weighted WITHIN-SLOT high-vs-rest corr contrast collapses to ~0 (CI includes 0) on EITHER market, Study D is a clock effect and FINDINGS/MEMORY must be rewritten. Partial shrinkage => Study D qualified. Sign+significance+size retained => stands.",scripts/s4_term_structure.py,NQ+ES clean Databento RTH 1-min 2011-2026 (same sample as EXP-0003/0004),"scripts/s4_term_structure.py; core/analysis.py (block_boot_corr, causal_slot_percentile, forward_return_windows, variance_ratio_windows, decision clock); core/strategy.py (allow_overlap guard); tests/test_strategy.py::test_no_overlap_is_the_default",python -u -m futures.nq.vei_exploration.scripts.s4_term_structure {NQ|ES},"count-weighted within-slot corr(past 30m, fwd 30m) contrast, high(VEI>1.10) minus rest, session-block bootstrap 90% CI, both markets","H1 CONFIRMED both markets (outcome 3, full survival). Time-of-day concentration is real (88.9% NQ / 87.4% ES of high-VEI decisions in the 14:00+ slots = 31% of the clock) but is NOT the cause: within-slot contrast +0.1098 [+0.0251,+0.1715] NQ / +0.1033 [+0.0208,+0.1681] ES = 106%/105% of the pooled Study D difference; stable across MIN_CELL 0-200 and still +0.073/+0.068 using only the 4 largest late slots. Study D stands as written. THREE further results: (a) de-seasonalising DESTROYS information - at matched count the causal same-slot percentile is weaker than the raw level on both markets with CI including 0 (NQ +0.069 vs +0.100; ES +0.068 vs +0.086), so VEI's info is in its ABSOLUTE level; (b) term structure is FRONT-LOADED - high-regime corr peaks at H=5-10min (+0.177 NQ/+0.170 ES), holds to 30-60, ~0 by 90-120/close, CORRECTING EXP-0004's 'effect strengthens with hold' (the H=60 gain is cost amortisation, not signal); (c) VR(q) within-slot difference ~0, so 'momentum regime' = a drift tilt, not a smoother path (pooled VR gap was pure composition). F4: (10,50) with past_win=30 is the best cell on both markets, past_win load-bearing. ERRATUM (rule 13): EXP-0004's published H=60 row was a 2-unit book; corrected 1-unit NQ Sharpe +0.442 (t1.70) / ES +0.526 (t2.02); 60-min clock +0.288/+0.249. EXP-0004 verdict UNCHANGED (primary H=30 cell untouched).",artifacts/runs/F_term_structure,Claude,unassigned,not-reviewed,"Descriptive, no trading claim in Study F => no Null C. Rule 23: EXP-0004 reproduced exactly before any engine change. Outputs term_structure_{NQ,ES}.txt, decay_*, vr_*, vr_by_slot_*, by_slot_*, slot_contrast_*, norm_compare_*, selection_share_*, coverage_*, robustness_*. Also re-ran EXP-0004 (momentum_*.txt, horizon_*.csv now carry a 'book' column). No pytest in this env: tests run via python -m futures.nq.vei_exploration.tests.run_tests (8/8 pass)."
EXP-0006,2026-07-26,experiment,completed,HYP-0003: repairing the Wilder ATR warm-up (textbook SMA seed) and re-selecting the estimator at matched effective memory changes the VEI studies A-F,see below,scripts/s1_smoothing.py,"NQ + ES clean Databento RTH 1-min 2011-2026, identical sample to EXP-0001..0005",working-tree,"python -u -m futures.nq.vei_exploration.scripts.{s1_smoothing,s2_vol_forecast,s3_regime_dynamics,s4_term_structure} {NQ|ES} ; ... .scripts.hyp_0001_momentum_vei real {NQ|ES}","EXP-0005's count-weighted within-slot high-vs-rest momentum contrast, both markets","KILL TEST 1 FIRED on NQ -> STUDY D DOWNGRADED from confirmed to qualified/inconclusive. Rule 23 PASS: every seed='first' legacy row reproduced its published number (Study A wilder 0.893/0.549/0.229/+0.1572 NQ; Study D +0.1041/+0.0957; Study F within-slot +0.1098/+0.1033; EXP-0004 Sharpe +0.015/-0.073). PRIMARY (within-slot high-vs-rest contrast) repaired: NQ +0.0690 [-0.0068,+0.1339] CI INCLUDES 0 -> kill test 1 fired; ES +0.0857 [+0.0092,+0.1465] survives. Kill test 3: NQ significant at matched-selection-rate cut (+0.0872 [+0.0090,+0.1444]) but not at absolute 1.10 -> threshold-sensitive, reported as such; shrinkage itself is a FEATURE effect (below legacy even at matched count). Effect keeps sign+cross-market agreement at 63%(NQ)/83%(ES) of published size. A: attribution REPLACED - effective MEMORY dominates, not estimator form (com-matched SMA 19/99 +0.186/+0.188 level with Wilder 10/50; reverse-matched Wilder 5/25 collapses to +0.035/+0.060, BELOW the SMA); warm-up repair worth IC +0.157->+0.202 NQ / +0.195->+0.207 ES at equal sample, and AC1 FALLS 0.549->0.441 so the old persistence headline was itself inflated by the defect. Open lead wilder_20_100 IC +0.396/+0.353 NOT adopted - IC_fwdvol likely rewards level-likeness (Study B: level IC +0.86), so it is a poor selection metric for a ratio. B unchanged, increment SMALLER (dR2 +0.004->+0.0017 NQ, +0.002->+0.0006 ES). C verdict holds (no intraday spring) but slope sub-claim WITHDRAWN - expansion ratio now flat/non-monotone ~0.94-0.99 across quintiles. F: audit itself HOLDS and strengthens (within-slot retains 111%/117% of pooled, D is not a clock effect); front-loading, VR~0 and the 13:30 slot all replicate (13:30 now +0.377 NQ/+0.425 ES); F4 best cell moves to 10_100+past_win30. F CORROLARY (a) REVERSED: causal same-slot percentile is now EQUAL-OR-BETTER than raw level (NQ raw +0.068 incl 0 vs pct +0.080 [+0.009,+0.148]) - the 'do not de-seasonalise' instruction was an artefact of the bug. E/EXP-0004 verdict UNCHANGED REJECT: repaired Sharpe +0.134 NQ (t0.52) / -0.050 ES, matched-rate +0.232/+0.030, all far below day_t>=2 gate; gross dose-response SHARPER (NQ high +0.96->+1.39 pt/trade); nulls remain UNSPENT. Tests 11/11 (4 new incl closed-form-vs-reference-loop). PROCESS DEFECT: re-run overwrote EXP-0001..0005 artifact dirs, project untracked by git, originals unrecoverable; outputs snapshotted in artifacts/runs/EXP-0006/.",artifacts/runs/EXP-0006,Claude,unassigned,pending,hypothesis=experiments/hypotheses/HYP-0003.md
EXP-0007,2026-07-26,experiment,completed,Opening condition explains the legacy VEI momentum uplift,quiet-open mechanism corr >0.50 both; controlled interaction positive with 90% CI>0 and era-stratified session re-pairing p<0.05 both; correct-signed dose response and era stability,experiments\hypotheses\HYP-0004.md,NQ+ES clean Databento RTH 1m 2011-2026; consumed history,scripts\hyp_0004_opening_seed.py; core\vei.py; core\analysis.py,python -u -m futures.nq.vei_exploration.scripts.hyp_0004_opening_seed {NQ|ES},"session-block-bootstrap controlled past_ret x quiet_open interaction and era-stratified session re-pairing p-value, both markets","MECHANISM CONFIRMED / PREDICTIVE FEATURE REJECTED: seed bias tracks quiet opening (+0.551 NQ/+0.532 ES), but controlled CIs cross zero, ES re-pairing p=.137, dose response/eras fail, and shared 2020-03-16 zero-range opening is load-bearing; dropping it flips both coefficients negative.",artifacts/runs/EXP-0007,Codex,unassigned,pending,hypothesis=experiments/hypotheses/HYP-0004.md
EXP-0008,2026-07-26,experiment,completed,"IC_fwdvol scores level-likeness, so it cannot select a VEI variant",see below,scripts/s1c_selection_metric.py,"NQ + ES clean Databento RTH 1-min 2011–2026, same sample as EXP-0001..0006",working-tree,python -u -m futures.nq.vei_exploration.scripts.s1c_selection_metric {NQ|ES},"the cross-variant R² of `IC_fwdvol` regressed on `corr_lvl`, plus the","CONFIRMED DECISIVELY both markets; IC_fwdvol RETIRED as an estimator-selection metric. Across 10 variants on one common sample (n=33389), IC_fwdvol is a near-perfect linear function of corr_lvl (how level-like the variant is): R2=0.992 on BOTH NQ and ES, slope ~0.90, intercept ~0. Decisive control: LEVEL:atr_10 has NO denominator (zero ratio content) and TOPS the IC_fwdvol column on both markets (+0.5745 NQ/+0.6130 ES vs best ratio +0.3958/+0.3530) - a metric a non-ratio wins cannot select among ratios. KILL TEST 3 ALSO FIRED (harmful case): contrast (the project primary metric) is NEGATIVELY related to corr_lvl (r -0.915 NQ/-0.871 ES, R2 0.838/0.759), so the two metrics rank variants OPPOSITELY. EXP-0006's tempting lead wilder_20_100 has the LOWEST momentum contrast of any ratio (+0.0587/+0.0453, CIs incl 0) vs canonical wilder_10_50 (+0.0751/+0.0894) -> lead WITHDRAWN, EXP-0006's non-adoption vindicated, canonical retained. Mechanism is algebraic: as the denominator's memory grows ATR(long) -> a within-session constant, so the ratio degenerates into a rescaled ATR(short) = the vol LEVEL, which Study B showed beats every VEI variant at forecasting vol (+0.86). IC_partial (new analysis.partial_spearman) is a PARTIAL repair only - it breaks the fit (R2 0.992->0.301/0.496) but the pure-level controls still top it (+0.117/+0.149) because a differently-windowed level carries fwd-vol info past_rv lacks; NO forward-vol-based metric can select a ratio. FREE BONUS RESULT (the most valuable output): the pure vol LEVEL has a momentum contrast of ~ZERO (-0.0047 NQ/+0.0225 ES, CIs span 0) while every genuine ratio is positive (+0.06..+0.12) -> high volatility ALONE does NOT select the momentum regime, the EXPANSION RATIO does. First result separating VEI from the level on the momentum axis; sharpens Study D (it is NOT 'momentum works when vol is high'). Coherent two-axis picture: on vol-forecasting the ratio is dominated by the level (B, dR2 +0.0017); on momentum-regime the level is worthless and only the ratio carries. Does NOT revive Study D (still qualified/inconclusive, CIs wide); contrast column is a 10-variant SEARCH on consumed history, argmax wilder_20_50 NOT promoted - only the SLOPE is established. Tests 13/13 (2 new). Wrote only to its own artifact dir (EXP-0006 defect not repeated).",artifacts/runs/EXP-0008,Claude,unassigned,pending,hypothesis=experiments/hypotheses/HYP-0005.md
EXP-0009,2026-07-26,experiment,completed,"Normalising VEI by its trailing same-slot mean gives a threshold that means what it says, at no information cost",see below,scripts/s5_slot_normalised.py,"NQ + ES clean Databento RTH 1-min 2011–2026, same sample as EXP-0001..0008",working-tree,python -u -m futures.nq.vei_exploration.scripts.s5_slot_normalised {NQ|ES},see below (two co-primary metrics — calibration and information),"KILL TEST 1 DID NOT FIRE; kill test 2 outcome = calibration FIXED at NO information cost, both markets. CO-PRIMARY 1 (calibration): the defect is confirmed at full size and is identical cross-market - at VEI>1.10 the raw feature selects 1.5% of the 10:30 slot vs 18.4% of 15:30 (NQ; ES 2.6%->22.4%), i.e. a TIME-OF-DAY selector wearing a volatility label. Per-slot selection-rate spread/CV: raw 0.169/0.933 NQ, 0.198/0.882 ES -> rel 0.029/0.135, 0.031/0.105 -> z 0.0115/0.050, 0.0121/0.041 -> pct 0.0093/0.039, 0.0088/0.031. Informative detail: rel is ~2.5x worse-calibrated than z on BOTH markets because dividing by the trailing same-slot MEAN removes per-slot LOCATION but not per-slot SCALE => VEI's per-slot dispersion is NOT proportional to its per-slot level. CO-PRIMARY 2 (information): rel retains 88.1% NQ / 92.5% ES of raw's within-slot contrast, above the pre-declared 75% gate on both => de-seasonalising does NOT destroy information. This SETTLES the EXP-0005/EXP-0006 flip-flop: the original 'de-seasonalising destroys info' claim was a warm-up-bug artefact, now independently reconfirmed by a magnitude-preserving variant. z = (VEI-mu_slot)/sd_slot is the standout and the ONLY feature of four whose CI excludes 0 on both markets in BOTH metrics (4/4 cells; raw 0/4): within-slot +0.0959 [+0.0187,+0.1544] NQ / +0.0784 [+0.0052,+0.1377] ES, pooled +0.0930 [+0.0096,+0.1680] / +0.0869 [+0.0046,+0.1638]. Mechanism differs by market though - NQ point estimate RISES +28% at unchanged CI width; ES point estimate FLAT with a slightly narrower interval => a BETTER-CONDITIONED MEASUREMENT, not a bigger effect. ADOPT z as the regime label (rel retained as the interpretable sibling, '1.0 = normal for this time of day'). Sensitivity lb{30,90,180} on rel: +0.067/+0.066/+0.059 NQ, +0.066/+0.072/+0.055 ES - no cliff, 180 worst on both; default 90 inherited for single-variable comparability, NOT selected on. Rule 9a: trailing window costs 60/3710 sessions UNIFORMLY across all 11 slots (kept 0.9838 everywhere) = pass signal. STUDY D: under z, NQ's CI no longer crosses zero on either market or metric - the specific reason EXP-0006 downgraded D. This is NOT a restoration: it is the 5th measurement of D on the same consumed history and z was chosen from 4 candidates AFTER seeing D fail under the canonical feature (rule 26). z makes D worth exactly ONE clean FORWARD test. EXP-0004's REJECT stands, no null spent, still no established directional edge. Three known defects of the construct are now all repaired (warm-up EXP-0006, selection metric EXP-0008, threshold calibration here). Bug caught by running: sensitivity sweep held min_obs=60 fixed while varying lookback, unreachable at lb=30; fixed by holding the FRACTION constant. Tests 15/15 (2 new). Wrote only to its own artifact dir.",artifacts/runs/EXP-0009,Claude,unassigned,pending,hypothesis=experiments/hypotheses/HYP-0006.md
EXP-0010,2026-07-26,experiment,completed,Fresh time-of-day-normalised VEI expansion with strengthening volume carries short-horizon momentum,"Reject as useful alpha unless the primary cell has netR>0, Sharpe>0, daily t>=2.0, and beats unconfirmed onset in netR and Sharpe on BOTH NQ and ES. If it passes, require matched-count random-decision and path-preserving Null C p<=0.05 on both before candidate status.",experiments\hypotheses\HYP-0007.md,"NQ + ES clean Databento RTH 1-minute 2011-2026; first 60 sessions consumed by causal normalisation; historical sample fully consumed, so any survivor remains discovery pending a future shadow sample.",scripts/hyp_0007_onset_volume.py; core/analysis.py; core/strategy.py; tests/test_core.py,python -u -m futures.nq.vei_exploration.scripts.hyp_0007_onset_volume {NQ|ES},Zero-trade-day daily net-ATR-R t-statistic and Sharpe for the volume-confirmed first-onset H=10 strategy on NQ and ES; descriptive session-block-bootstrap mean aligned forward return is supporting mechanism evidence.,"MECHANISM QUALIFIED / STANDALONE ALPHA REJECTED. First same-slot-z VEI onset with above-normal strengthening 5m volume separates H=10 momentum alignment from unconfirmed onset: +1.956bp [0.592,3.149] NQ / +1.740bp [0.752,2.694] ES difference. Primary causal H=10 portfolio fails: Sh/t +0.050/+0.19 NQ, -0.199/-0.76 ES; kill test fires, nulls unspent. H30 sensitivity +0.527/t2.02 NQ, +0.364/t1.40 ES cannot replace primary. Strategy is negative 2011-19 and positive 2020+ in both; NQ/ES highly dependent. Use only as possible allocator/veto, forward-watch recent regime.",artifacts/runs/EXP-0010,Codex,unassigned,pending,hypothesis=experiments/hypotheses/HYP-0007.md; hypothesis=experiments/hypotheses/HYP-0007.md; tests 17/17; independent review pending
