experiment_id,declared_date,phase,status,hypothesis,kill_test,config_path,data_scope,code_ref,run_command,primary_metric,result_summary,artifact_path,builder,reviewer,review_status,notes
EXP-0000,2026-07-18,baseline,completed,Translate the source strategy into an implementable ES/NQ replication plan,Independent implementation is impossible without unresolved material assumptions,legacy-not-frozen,source documents and local data inventory,REPLICATION_PLAN.md,documentation only,specification completeness,Detailed legacy replication plan produced,REPLICATION_PLAN.md,legacy,unassigned,not-reviewed,Reconstructed legacy milestone; not predeclared
EXP-0001,2026-07-18,baseline,completed,The original local implementation faithfully matches the source,Decision clock or VWAP entry rules differ materially from the source,legacy-not-frozen,NQ and ES historical RTH data,legacy implementation,legacy run; see forensic report,headline return and Sharpe,Rejected as faithful evidence because of an off-by-one clock and missing VWAP gate,FORENSIC.md,legacy,legacy,issues,Reconstructed and invalidated; superseded by EXP-0002
EXP-0002,2026-07-18,baseline,completed,Correcting the decision clock and VWAP gate closes most of the replication gap,Corrected clean headline remains materially inconsistent with published claims,baseline_replication/configs/faithful_config.json,NQ and ES clean Databento history through 2026,scripts/forensic.py,python -m futures.nq.noise_vwap.scripts.forensic,CAGR and Sharpe versus published headline,Broad return replication: NQ about 28.3%/1.31; ES 15.5%/0.81; portfolio 23.8%/1.52,FORENSIC.md,legacy,legacy,passed,Reconstructed legacy milestone; config snapshot added later
EXP-0003,2026-07-18,engine,completed,Same-close fills materially inflate reported performance relative to next-open fills,Fill convention has immaterial effect under otherwise identical inputs,legacy-not-frozen,NQ and ES historical RTH data,core/engine.py,see REVIEW.md fill comparison commands,delta in CAGR and Sharpe by fill mode,Next-open retained as the honest faithful execution path,REVIEW.md,legacy,legacy,passed,Reconstructed legacy analysis; same-close retained only as ablation
EXP-0004,2026-07-18,validation,completed,The strategy remains stable under a session-valid Null C,Observed result is typical of the valid null distribution,legacy-not-frozen,pre-fix historical configuration,core/nulls.py,see KILL_TEST.md,P&L drift versus Null C,Material drift observed but magnitude is not current after faithful fixes,KILL_TEST.md,legacy,legacy,issues,Reconstructed; superseded for current interpretation by planned EXP-0007
EXP-0005,2026-07-18,engine,completed,Clean Databento reconstruction preserves required RTH/session semantics,Data audit finds unresolved material gaps or contract/session contamination,legacy-not-frozen,NQ and ES clean Databento history through 2026,core/build_clean.py,python -m futures.nq.noise_vwap.core.build_clean,data audit exceptions,Clean dataset and audit documented,DATA_AUDIT.md,legacy,legacy,passed,Reconstructed legacy milestone
EXP-0006,2026-07-18,baseline,completed,The faithful strategy reproduces broadly on the clean rebuilt dataset,Clean rebuild materially reverses the faithful forensic conclusion,baseline_replication/configs/faithful_config.json,NQ and ES clean Databento history through 2026,scripts/forensic.py,python -m futures.nq.noise_vwap.scripts.forensic,clean faithful CAGR and Sharpe,Qualified replication retained; edge remains regime-dependent and not deployment-ready,REVIEW.md,legacy,legacy,passed,Reconstructed legacy milestone
EXP-0007,2026-07-18,validation,completed,The clean faithful strategy outperforms a session-valid Null C,Reject if real daily net P&L is not distinguishable at upper-tail p <= 0.05 or if the null captures at least 60% of real P&L,validation/faithful_null_config.json,NQ and ES clean Databento RTH history through 2026,core/nulls.py,python -m futures.nq.noise_vwap.scripts.run_nulls <INST> 90 30 0.25,instrument-level daily net P&L versus corrected Null C,"PASS: NQ real daily net 74.04 USD vs null 36.31 +/- 13.43 USD, z=2.81, p=0.0323, 49.0% capture; ES real 33.91 USD vs null -11.17 +/- 8.01 USD, z=5.63, p=0.0323. Diffusivity gates exact.",artifacts/runs/EXP-0007,Codex,unassigned,pending,Full pipeline rerun; seeds 1000..1029; 30 draws per instrument; corrected pinned-sentinel Null C; zero-trade eligible sessions included; artifacts null_nq.txt and null_es.txt
EXP-0008,2026-07-18,experiment,completed,A short causal noise lookback improves NQ risk-adjusted returns,"Reject if max Sharpe uplift is below +0.10, selected net R is below lookback 90, or family-wise p exceeds 0.05",experiments/configs/hyp_0001_short_lookback.json,NQ primary and ES sibling clean Databento RTH history through 2026 on common post-lookback-90 sample,scripts/paper_5095349_hypothesis_test.py,python -m futures.nq.noise_vwap.scripts.paper_5095349_hypothesis_test <real|null> <NQ|ES> 20,full-family maximum zero-trade-day daily net-ATR Sharpe uplift over lookback 90,"REJECT: NQ best lookback 30 had dSharpe -0.065, dNetR -3.8, family-wise p=0.8571; ES best lookback 2 had dSharpe +0.026, dNetR +2.3, family-wise p=0.1905. Neither met the +0.10 Sharpe or corrected p<=0.05 gates.",artifacts/runs/EXP-0008,Codex,Claude (Opus 4.8),reviewed-concur,hypothesis=experiments/hypotheses/HYP-0001.md; 20 full-family corrected Null C draws per instrument; common post-lookback-90 sample; artifacts real_nq.txt real_es.txt null_nq.txt null_es.txt; independent review 2026-07-18 REJECT confirmed no blocking objections
EXP-0009,2026-07-18,experiment,completed,One-second first-touch exits preserve the GO continuous-stop edge,Reject preservation if first-touch Sharpe is more than 0.15 below the one-minute continuous-stop Sharpe or if net daily mean is non-positive.,experiments/configs/hyp_0002_first_touch.json,NQ raw Databento one-second RTH history on 3628 eligible post-lookback-90 sessions from 2011-12-08 through 2026-07-14,core/first_touch.py and scripts/first_touch.py,python -m futures.nq.noise_vwap.scripts.first_touch,Zero-eligible-day one-contract daily net Sharpe at 0.5 tick slippage per side plus fees versus the current one-minute continuous stop,"PASS preservation: at 0.5 tick/side, zero-day daily Sharpe was 0.883 for causal 1s every-minute first-touch versus 0.923 for current 1m continuous stop (delta -0.040, within -0.15 kill threshold); daily net mean +66.57 USD. Vol-targeted Sharpe 1.090 versus 1.184; touch execution is robust but not an uplift.",artifacts/runs/EXP-0009,Codex,unassigned,pending,"hypothesis=experiments/hypotheses/HYP-0002.md; one-pass scan of 142481276 source rows/68265250 eligible RTH rows; all 3628 sessions covered; artifacts include four trade files, cost and headline summaries, audit, and review"
EXP-0010,2026-07-18,experiment,completed,An every-bar VWAP-touch exit improves NQ risk-adjusted returns over the band-or-VWAP stop,"Reject if Sharpe uplift < +0.10, treatment net R < baseline net R, or Null C upper-tail p > 0.05",experiments/configs/hyp_0003_vwap_touch_exit.json,NQ primary and ES sibling clean Databento RTH history through 2026 on common post-lookback-90 sample,scripts/hyp_0003_vwap_touch_exit.py,python -m futures.nq.noise_vwap.scripts.hyp_0003_vwap_touch_exit <real|null> <NQ|ES> 30,"zero-trade-day daily net-ATR-R Sharpe uplift of vwap-touch exit over the both stop, vs corrected Null C","REJECT: NQ vwap-touch exit dSharpe -0.031 (fails +0.10 gate), Null C p=0.8710; ES dSharpe +0.258 but Null C p=0.2903 (null uplift mean +0.178). Looser VWAP-only stop is a variance/selectivity dial that lifts Sharpe as much on noise as on signal; net R rises with fewer trades but that is turnover/capacity, not alpha. Retain the both stop.",artifacts/runs/EXP-0010,Claude (Opus 4.8),Claude (Opus 4.8),reviewed-concur,hypothesis=experiments/hypotheses/HYP-0003.md; 30 corrected Null C draws per instrument seeds 5095349..5095378; both arms are engine2 stop_ref both vs vwap; artifacts real_nq/es.txt null_nq/es.txt; independent review 2026-07-19 REJECT confirmed; null uplift mean positive on both markets = variance/selectivity amplifier
EXP-0011,2026-07-18,experiment,completed,The paper two-stage RR ladder exit improves NQ risk-adjusted returns over the band stop,"Reject if ladder Sharpe uplift over both < +0.10, ladder net R < both net R, or Null C upper-tail p > 0.05; weaken if ladder Sharpe < tp1.0_50 or sign does not transfer to ES",experiments/configs/hyp_0004_rr_ladder.json,NQ primary and ES sibling clean Databento RTH history through 2026 on common post-lookback-90 sample,"scripts/hyp_0004_rr_ladder.py (ladder in core/engine2.py, tests/test_ladder.py)",python -m futures.nq.noise_vwap.scripts.hyp_0004_rr_ladder <real|null> <NQ|ES> 30,"zero-trade-day daily net-ATR-R Sharpe uplift of the paper Table-2 ladder over the both stop, vs corrected Null C","REJECT: NQ ladder dSharpe -0.075 / dNetR -12.9 vs both (fails +0.10 gate), also loses to tp1.0_50 by -0.131 Sh; Null C p=0.6129. ES dSharpe +0.014 / dNetR -4.2, Null C p=0.3226. Paper Table-2 ladder cuts gross R (111->97): fixed -1R stop + +5R cap discard the trailing stop's edge. Retain both stop; keep tp1.0_50.",artifacts/runs/EXP-0011,Claude (Opus 4.8),Claude (Opus 4.8),reviewed-concur,hypothesis=experiments/hypotheses/HYP-0004.md; ladder added default-off to core/engine2.py with tests/test_ladder.py + parity re-verified; 1R=entry-frozen band distance; 30 Null C draws seeds 5095349..5095378; independent review 2026-07-19 REJECT confirmed
EXP-0012,2026-07-18,experiment,completed,A narrower noise exit band max-combined with a looser (below-VWAP for longs) VWAP-sigma band improves NQ risk-adjusted returns,"Reject if NQ max-cell Sharpe uplift over both < +0.10, or (if the real gate passes) Null C family-max upper-tail p > 0.05",experiments/configs/hyp_0005_exit_band.json,NQ primary and ES sibling clean Databento RTH history through 2026 on common post-lookback-90 sample,scripts/hyp_0005_exit_band.py (exit_band in core/engine2.py),python -m futures.nq.noise_vwap.scripts.hyp_0005_exit_band <real|null> <NQ|ES> 30,max-cell zero-trade-day daily net-ATR-R Sharpe uplift over the both stop across the s x y exit-band grid,"REJECT: flipped/looser grid — NQ best cell s0.75_y1.0 dSharpe +0.090 / dNetR +14.1 FAILS the +0.10 gate (no null run); ES best s0.5_y0.5 dSharpe +0.320 PASSES real gate but Null C family-max mean +0.254 (p=0.2903) reproduces it = variance/selectivity amplifier, same as EXP-0010. Literal/tighter negative-y grid rejected on both markets first. Looser exit is a turnover/capacity lever, not alpha. Retain both stop + tp1.0_50.",artifacts/runs/EXP-0012,Claude (Opus 4.8),Claude (Opus 4.8),reviewed-concur,hypothesis=experiments/hypotheses/HYP-0005.md; exit_band added default-off to core/engine2.py (s=1/y=0 parity verified); sig_vw = causal volume-weighted std about VWAP; ES family-max Null C 30 draws (NQ gate-missed; no null per standing rule); independent review 2026-07-19 REJECT confirmed; 3rd looser-stop-Sharpe-artifact instance
